Versuchsteilnehmer 1:
Versuchsteilnehmer 2:
Versuch: 
Startzeit: 29.02.2024 15:42:38
Stoppzeit: 29.02.2024 15:58:24
Probennummer: 
Winkel: 
Frequenz: 
Strom: 
Magnetfeld: 9T
Temperatur: 132.4mV 
Abgleich: 
Kommentar: -2.0054V

Zeit (s)          	B(V)          	U_I(V)          	U_hall(V)          	 Uxx(V)
0,000000000000	0,001230163896	1,733102555660	0,003556093736	5,170456597293
0,100000000000	0,001295046132	1,733093806342	0,003575656714	5,170365661858
0,200000000000	0,001311266691	1,733061365052	0,003650271285	5,170304022378
0,300000000000	0,001213943337	1,732999726601	0,003552947931	5,170349440942
0,400000000000	0,001181502220	1,732999726600	0,003598365496	5,170304022378
0,500000000000	0,001333975473	1,732866717311	0,003656759508	5,170300778195
0,600000000000	0,001246384455	1,732921867504	0,003672980067	5,170304022379
0,700000000000	0,001106887649	1,732824543633	0,003669735955	5,170200208519
0,800000000000	0,001071202420	1,732847252537	0,003660003620	5,170096394660
0,900000000000	0,000960902619	1,732805078859	0,003744350527	5,170115859758
1,000000000000	0,000986855514	1,732792102343	0,003669735955	5,170047731913
1,100000000000	0,000921973278	1,732756416924	0,003679468291	5,169976359885
1,200000000000	0,000808429366	1,732707754989	0,003672980067	5,169866057660
1,300000000000	0,000801941143	1,732795346472	0,003734618191	5,169904987857
1,400000000000	0,000811673478	1,732698022602	0,003734618191	5,169830371645
1,500000000000	0,000798697031	1,732685046086	0,003744350527	5,169749267068
1,600000000000	0,000824649925	1,732642872409	0,003770303421	5,169746022885
1,700000000000	0,000840870484	1,732672069570	0,003763815197	5,169606523012
1,800000000000	0,000902508608	1,732681801957	0,003737862303	5,169583813730
1,900000000000	0,000983611402	1,732649360667	0,003767059309	5,169587057913
2,005000000000	0,001013889778	1,732697250190	0,003698778480	5,169578561243
2,100000000000	0,001079910299	1,732709120938	0,003699103704	5,169517905589
2,200000000000	0,001142572879	1,732678557828	0,003634050726	5,169489732420
2,300000000000	0,001113375873	1,732665581312	0,003666491844	5,169531906800
2,400000000000	0,001106887649	1,732704510860	0,003702177073	5,169515685885
2,500000000000	0,001132840543	1,732623407635	0,003643783061	5,169518930068
2,600000000000	0,001197722779	1,732672069570	0,003653515397	5,169561104448
2,700000000000	0,001191234555	1,732688290215	0,003621074279	5,169570836998
2,800000000000	0,001250480556	1,732627405450	0,003645880265	5,169520044232
2,900000000000	0,001235945482	1,732597004921	0,003599971492	5,169598139529
3,000000000000	0,001181502220	1,732613675247	0,003556192043	5,169515685885
3,100000000000	0,001230163896	1,732539060280	0,003569168490	5,169564348631
3,200000000000	0,001285313796	1,732565013312	0,003546459707	5,169625988110
3,300000000000	0,001352063854	1,732506160224	0,003547573847	5,169611798905
3,400000000000	0,001460784911	1,732548824787	0,003577487549	5,169652744591
3,500000000000	0,001512401620	1,732545548538	0,003598365496	5,169651941575
3,600000000000	0,001457251720	1,732561769183	0,003604853720	5,169661674124
3,700000000000	0,001405345932	1,732526083764	0,003647027173	5,169694115955
3,800000000000	0,001411047704	1,732522544714	0,003586896414	5,169647845384
3,900000000000	0,001492904830	1,732468524564	0,003590335516	5,169662380778
4,000000000000	0,001736245333	1,732548792667	0,003585389049	5,169784953082
4,100000000000	0,002119050523	1,732552036796	0,003611341943	5,169674650857
4,200000000000	0,002751652320	1,732513107248	0,003614586055	5,169723313603
4,300000000000	0,003685202832	1,732509437122	0,003655710907	5,169726492247
4,400000000000	0,005045367837	1,732613064966	0,003638515394	5,169704137590
4,500000000000	0,006644586478	1,732594210473	0,003660003620	5,169671406674
4,600000000000	0,008526171335	1,732581233957	0,003695688850	5,169707092688
4,700000000000	0,010680261596	1,732659093054	0,003647027173	5,169694115955
4,800000000000	0,013155387867	1,732627405450	0,003645880265	5,169696999674
4,900000000000	0,015982200346	1,732674093135	0,003667423321	5,169655956653
5,000000000000	0,018771076623	1,732629895893	0,003640538949	5,169645453209
5,100000000000	0,021561012877	1,732675313699	0,003653515396	5,169648697392
